easting(x),northing(y),elevation(z)
200025.0,839975.0,264.8
200075.0,839975.0,267.0
200125.0,839975.0,272.9
200175.0,839975.0,275.8
200225.0,839975.0,279.2
200275.0,839975.0,284.3
200325.0,839975.0,288.4
200375.0,839975.0,301.5
200425.0,839975.0,311.7
200475.0,839975.0,318.3
200525.0,839975.0,323.7
200575.0,839975.0,333.2
200625.0,839975.0,339.0
200675.0,839975.0,345.7
200725.0,839975.0,347.1
200775.0,839975.0,348.4
200825.0,839975.0,351.2
200875.0,839975.0,362.1
200925.0,839975.0,373.4
200975.0,839975.0,374.6
201025.0,839975.0,374.1
201075.0,839975.0,374.0
201125.0,839975.0,368.9
201175.0,839975.0,360.2
201225.0,839975.0,345.8
201275.0,839975.0,329.6
201325.0,839975.0,316.7
201375.0,839975.0,302.4
201425.0,839975.0,286.8
201475.0,839975.0,277.7
201525.0,839975.0,266.6
201575.0,839975.0,262.7
201625.0,839975.0,255.4
201675.0,839975.0,246.6
201725.0,839975.0,239.0
201775.0,839975.0,233.5
201825.0,839975.0,239.9
201875.0,839975.0,254.2
201925.0,839975.0,260.3
201975.0,839975.0,272.4
202025.0,839975.0,280.8
202075.0,839975.0,290.8
202125.0,839975.0,301.3
202175.0,839975.0,311.0
202225.0,839975.0,319.7
202275.0,839975.0,331.7
202325.0,839975.0,340.0
202375.0,839975.0,350.1
202425.0,839975.0,359.8
202475.0,839975.0,368.9
202525.0,839975.0,380.2
202575.0,839975.0,401.3
202625.0,839975.0,422.8
202675.0,839975.0,433.2
202725.0,839975.0,456.6
202775.0,839975.0,476.3
202825.0,839975.0,500.0
202875.0,839975.0,517.1
202925.0,839975.0,538.4
202975.0,839975.0,542.8
203025.0,839975.0,556.5
203075.0,839975.0,559.4
203125.0,839975.0,554.5
203175.0,839975.0,557.8
203225.0,839975.0,558.7
203275.0,839975.0,555.7
203325.0,839975.0,555.2
203375.0,839975.0,555.1
203425.0,839975.0,553.0
203475.0,839975.0,571.2
203525.0,839975.0,582.3
203575.0,839975.0,598.7
203625.0,839975.0,608.3
203675.0,839975.0,607.9
203725.0,839975.0,610.2
203775.0,839975.0,619.9
203825.0,839975.0,624.9
203875.0,839975.0,628.5
203925.0,839975.0,630.8
203975.0,839975.0,628.4
204025.0,839975.0,619.1
204075.0,839975.0,615.3
204125.0,839975.0,607.1
204175.0,839975.0,590.1
204225.0,839975.0,578.4
204275.0,839975.0,565.0
204325.0,839975.0,556.9
204375.0,839975.0,553.4
204425.0,839975.0,550.7
204475.0,839975.0,545.7
204525.0,839975.0,545.8
204575.0,839975.0,543.1
