Total Deer,Total Wolves,Total Deer Killed,Weekly Deer Killed,Deer per Wolf,Weekly Deer Births,Weekly Deer Natural Deaths,Weekly Wolf Births,Weekly Wolf Natural Deaths,Number of Packs,Number of Herds,Week,Year,Run,Extinction
11835,40,0,0,295.875,0,0,0,0,5,459,0.0,0.0,0,True
11840,39,5,5,303.5897435897436,29,19,0,1,5,459,0.5,0.009615384615384616,0,True
11839,39,10,5,303.56410256410254,20,16,0,0,5,459,1.0,0.019230769230769232,0,True
11845,40,13,3,296.125,26,17,1,0,6,459,1.5,0.028846153846153848,0,True
11844,40,22,9,296.1,23,15,0,0,6,459,2.0,0.038461538461538464,0,True
11841,40,31,9,296.025,32,26,0,0,6,459,2.5,0.04807692307692308,0,True
11841,40,38,7,296.025,26,19,0,0,6,459,3.0,0.057692307692307696,0,True
11844,41,45,7,288.8780487804878,29,19,1,0,6,459,3.5,0.0673076923076923,0,True
11843,41,53,8,288.8536585365854,25,18,0,0,6,459,4.0,0.07692307692307693,0,True
11845,41,59,6,288.9024390243902,23,15,0,0,6,459,4.5,0.08653846153846154,0,True
11857,41,66,7,289.1951219512195,36,17,0,0,6,459,5.0,0.09615384615384616,0,True
11864,40,70,4,296.6,30,19,0,1,6,459,5.5,0.10576923076923077,0,True
11857,40,77,7,296.425,20,20,0,0,6,459,6.0,0.11538461538461539,0,True
11854,40,84,7,296.35,24,20,0,0,6,459,6.5,0.125,0,True
11845,40,90,6,296.125,25,28,0,0,6,459,7.0,0.1346153846153846,0,True
11839,40,97,7,295.975,29,28,0,0,6,459,7.5,0.14423076923076922,0,True
11832,40,103,6,295.8,22,23,0,0,6,459,8.0,0.15384615384615385,0,True
11816,40,110,7,295.4,15,24,0,0,6,459,8.5,0.16346153846153846,0,True
11804,40,116,6,295.1,24,30,0,0,6,459,9.0,0.17307692307692307,0,True
11809,40,123,7,295.225,32,20,0,0,6,459,9.5,0.18269230769230768,0,True
11798,40,130,7,294.95,22,26,0,0,6,459,10.0,0.19230769230769232,0,True
11797,40,139,9,294.925,24,16,0,0,6,459,10.5,0.20192307692307693,0,True
11794,40,146,7,294.85,18,14,0,0,6,459,11.0,0.21153846153846154,0,True
11797,40,151,5,294.925,23,15,0,0,6,459,11.5,0.22115384615384615,0,True
